Term_EN,Term_ES,Definition
Digital Systems Collaborator,,
Digital Twin,,
Direct Control Zoning,,
Distributism,,
Drinking Fountain or Bottle Filing Station,,
Eco-regions,,
Economic Model,,
Edge Zones,,
Elevator Cab,,
Elevator Lobbies,,
Elevators,,
Embodied Carbon,,
Emergency Call Box,,
Emergency Exits,,
Emergency Services Vehicles,,
Emergency Stairwell,,
End of Life,,
End of Trip,,
EV Charging Station,,
Extended Pull Up Area,,
Exterior Bike Storage,,
Exterior Seating,,
Fixed Floor Plates,,
Façade Collaborator,,
Façade Design,,
Façade Frontage,,
Façade Lintel Beam,,
Façade Maintenance Systems,,
Façade Signage,,
Fire Alarm Interface,,
Fire System,,
First Assignment,,
Floor Plates Collaborator,,
Floor Plates,Placas de Piso,The base footprint established by equipment geometry.
Floors,Pisos,Refers to the storeys or levels of the building.
Food Forest,,
Forest Garden,,
Full Floor Tenancies,,
Full Floor,,
Geometry of Sustainability or Geometric Sustainability,Geometry of Sustainability,Design methodology reducing OpEx by ~30% via geometry.
German Circulation Law Requirements,German Circulation Requirements,Regulation: 3ft accessibility spacing.
German Sustainable Building Council or DGNB,,
Ground Coils,,
Ground Source Heat Pumps (Geo-thermal),,
Hallway,,
Hazardous Waste,,
"Heating, Ventilation and Air Conditioning or HVAC",,
House Phone,,
Human Scale,,
Induction Reasoning,,
Informal Areas,,
Initial Development Package,,
Interior Design,,
Interior Landscaping,,
International Building Code or IBC,,
Internationalism,,
Landscaping Collaborator,,
Lease Agreement,,
Leasehold Improvements,Mejoras a la Propiedad,Custom build-outs (minimized by this model).
Leasing Plan,,
LED Lighting,,
LEED Certification or LEED,,
Light Standards,,
Light Truck,,
Limited Partnership Agreement,,
Line of Buildings,,
Loading and Recycling,,
Lobby Atrium,Lobby Atrium,Limited amenity included in Prototype.
Local Accountant,,
Local Codes,,
Local Lawyer,,
Location Intelligence,,
LoRaWAN,,
Mail Room Shelves,,
Mail Room Supervisor,,
Mail Room,Mail Room,Limited amenity included in Prototype.
Main Floor Retail,,
Main Floor or Ground Floor,,
Main Line Stubs,,
Mass Timber Structure,,
Master Floor Shutoffs,,
Material Selection,,
Materials Database or Materials Library,,
Maternal/Prayer Room,,
Meeting Rooms,,
Meter Room or Mechanical Room,,
Metro Areas,,
Mix-of-Use(s),Mix-of-Use,"Curated professional ecosystem (Medical, Civic); distinct from 'mixed-use'."
Mixed Use,,
Move-in or Move-out,,
National Tenant,,
Natural Light,,
Night Watch,,
Offset Pulled Back Core,,
Operable Windows,,
Operating Budget,,
Optical Turnstile,,
Over-design,,
Over-providing,,
Over-provisioning,,
Oversized Driveways,,
Oversized Laneway,,
Oversized Sidewalks,,
Oversized Walkways,,
Panel Van,,
Parking Collaborator,,
Parking Lot Layout,,
Parking Ratios,Ratios de Estacionamiento,Critical success metric (e.g., 4:1000).
Parking Stall — Accessible,,
Passive Haus,,
Pattern Language,,
People-centred design or Human centred design,,
Permaculture,,
Plant Palette Zones,,
Pod Furniture,,
Power Centres,,
Private Office,,
Professional Office – Academic,,
Professional Office – Business,,
Professional Office – Laboratory,,
Professional Office – Medical,,
Professional Office,,
Prototype,Prototipo,Standardized design (fixed floor plates) used for all buildings.
Public Lobby Washrooms,,
Public Wi-Fi,,
PV Array,,
PV Canopies,,
Rapid Transit,,
Refuse Enclosure,,
Regional Markets,Mercados Regionales,Pop. 50k-300k; high disposable income; underserved.
Retro-Suburbia,,
Rollout Program,Programa de Implementación,Repeating the exact same building design across locations.
Roundabout,,
Secondary Catchments,,
Secondary Entrance,,
Security Door,,
Service Elevator,,
Service Entrance,,
Service Stairwell,,
SF,,
Show Suite,,
Showers,,
Signature Features,,
Site Selection Pipeline,,
Smoke Vents,,
Snowdrops,,
Solar Shading,,
Special Tiles,,
Stormwater Management,,
Structural Collaborator,,
Structural Systems,,
Sub-Prototypes,,
Surface Parking,,
Suspended Floor System,,
Sustainability Collaborators,,
Sustainable Drainage System (SuDS),,
Tenant Improvement Allowance,,
Tenant Lounge Lockers,,
Tenant Lounge Tile,,
Tenant Lounge Washroom,,
Tenant Lounge,Tenant Lounge,Limited amenity included in Prototype.
Tenant Mix,,
Tenants,,
Test Sites,Sitio de Prueba,An initial location used to validate the prototype or market.
Top 400 Regional Markets,,
Trios,,
UK NABERS,,
Undercroft Parking,,
Underground Parking,,
Unit of Mobility,,
Urban Mining,,
Urbanism,,
New Urbanism,,
Use Cases,,
Users,,
Volatile Organic Compounds (VOC),,
Water Fountain,,
Water Management System,,
WELL Certification or WELL,,
White Paper,,
Woodfine Buildings,,
Woodfine Campus,,
Woodfine Delivery Method,,
Work From Home,,
Workbench,,
Xeriscape,,
Zone 1 – Habitat,,
Zone 2 – Magazine,,
Zone 3 – Corridor,,
"Academic, Business, Civic, Laboratory, Medical","Académico, Empresarial, Cívico Laboratorio, Médico",
European Lighting Directive,European Lighting Directive,Regulation: workstation max 6m from window.
Dual-Mandate Building Certification,Certificaciones de Edificios de Doble Mandato,Combines Environmental Performance (LEED/BREEAM) and Human-Centric Wellness (WELL).
Structural Grid,Cuadrícula Estructural,The engineering framework applied to the floor plate.
Swiss Air Exchange Requirements,Swiss Air Exchange Requirements,Regulation: air exchange based on person-count.
DEVELOPMENT CLASSES,CLASES DE DESARROLLO,"[Updated] Refers strictly to the type of Direct-Hold Solution: Woodfine Professional Centres, Woodfine Vertical Warehouses, Woodfine Parking Structures."
DEVELOPMENT SITES,SITIOS DE DESARROLLO,Header reference for specific land parcels.
WOODFINE BUILDINGS,EDIFICIOS WOODFINE,"[Updated] The individual physical prototypes: Professional Centres, Tech Industrial, Retail Select, Suburban Office, Vertical Warehouses, Parking Structures."
Walmart,Walmart,National Retailer referenced for its Rollout Program and scale.
Walmart Supercenter,Walmart Supercenter,The specific Prototype including a grocery component.
Costco,Costco,National Retailer referenced for parking experience and expansion.
Home Depot,Home Depot,National Retailer referenced for land optioning.
IKEA,IKEA,Comparable anchor tenant in Europe.
Amtrak,Amtrak,Transit hub reference (Boston-NY) for Parking Structures.
Europe,Europa,Referenced regarding superior building standards and Costco expansion.
Boston,Boston,Reference point for Amtrak transit hubs.
Seville,Seville,Costco location in Spain.
Getafe,Getafe,Costco location in Spain.
Las Rozas,Las Rozas,Costco location in Spain.
Sestao (Bilbao),Sestao (Bilbao),Costco location in Spain.
Zaragoza,Zaragoza,Costco location in Spain.
Woodfine Professional Centres,Woodfine Professional Centres,"Development Class located on Power Centres. Encompasses Professional Centres, Tech Industrial, Retail Select, and Suburban Office."
Professional Centres,Professional Centres,"3-5 storey office buildings; primary focus of the development; strictly located within 1 km of a Power Centre."
Retail Select,Retail Select,"Backfill class; bank w/ drive-thru; NO food providers; strictly located within 1 km of a Power Centre."
Tech Industrial,Tech Industrial,"Backfill class; 25% retail / 75% logistics; panel van access; strictly located within 4 km of a Power Centre."
Suburban Office,Suburban Office,"6-9 storey office buildings; primary focus; strictly located within 2 km of a Power Centre."
Woodfine Vertical Warehouses,Woodfine Vertical Warehouses,Development Class restricted strictly to the inter-city fringe.
Vertical Warehouses,Vertical Warehouses,Future physical prototype for inter-city fringe.
Woodfine Parking Structures,Woodfine Parking Structures,Development Class restricted strictly to regional transit hubs.
Parking Structures,Parking Structures,Future physical prototype for transit hubs/airports.
Design Package,Diseño de Sitios,The comprehensive architectural and site planning documents.
Development Markets,Mercados en Desarrollo,Specific geographic areas targeted for new projects.
Power Centre(s),Power Centre,Retail hubs anchored by Big Box stores (>60k sq ft).
Development Site(s),Sitios de Desarrollo,Specific land parcels identified for development.
National Retailers,Minoristas Nacionales,Location anchors (e.g., Costco, Walmart) driving Co-location.
National Tenants,Inquilinos Nacionales,Revenue-driving occupants (Academic, Medical, Civic) driving Mix-of-Use.
Office Tenants,Inquilinos de Oficina,"Academic, Business, Civic, Laboratory, Medical users."
Academic, Business, Civic, Laboratory, and Medical,Académico / Negocios / Cívico / Laboratorio / Médico,The five core categories of target tenants.
Use Case,Caso de Uso,Specific function (e.g., Medical lab) determining furniture geometry.
Fixed Floor Plate,Fixed Floor Plate,The standardized structural base.
Parking Stalls,Parking Stalls,Individual spaces determining building height.
National Pricing,Precios Nacionales,Bulk discounts secured via Buying Program.
Main Street,Calle Principal,Historical context for second-story offices.
Cost-Plus,Cost-Plus,Development philosophy (vs Value Add).
Past Projects,Proyectos Realizados,Historical development record.
Unlevered Square Feet,Pies Cuadrados sin Apalancamiento,Physical space built using only initial equity capital.
Developer,Desarrollador,Operational descriptor for the physical construction entity.
Last-Mile Logistics,Logística de Última Milla,Utility of infrastructure for urban distribution networks.
